[define]PID	名稱	敘述	關卡	開關	遊戲總類
[define]type	label	string	int	toggle	option{AA,BB,CC,D,E,F,G}
key	name	des	level	select	type
1	遊戲1_1	敘述1_1	10	False	CC
2	遊戲1_1	敘述1_1	11	False	CC
3	遊戲1_1	敘述1_1	12	False	CC
4	遊戲1_1	敘述1_1	13	False	CC
5	遊戲1_1	敘述1_1	14	False	CC
6	遊戲1_1	敘述1_1	15	False	CC
7	遊戲1_1	敘述1_1	16	False	CC
8	遊戲1_1	敘述1_1	17	False	CC
9	遊戲1_1	敘述1_1	18	False	CC
10	遊戲1_1	敘述1_1	19	False	CC
11	遊戲1_1	敘述1_1	20	False	CC
12	遊戲1_1	敘述1_1	21	False	CC
13	遊戲1_1	敘述1_1	22	False	CC
14	遊戲1_1	敘述1_1	23	False	CC
15	遊戲1_1	敘述1_1	24	False	CC
16	遊戲1_1	敘述1_1	25	False	CC
17	遊戲1_1	敘述1_1	26	False	CC
18	遊戲1_1	敘述1_1	27	False	CC
19	遊戲1_1	敘述1_1	28	False	CC
20	遊戲1_1	敘述1_1	29	False	CC
21	遊戲1_1	敘述1_1	29	False	CC
22	遊戲1_1	敘述1_1	29	False	CC
23	遊戲1_1	敘述1_1	29	False	CC
24	遊戲1_1	敘述1_1	29	False	CC
25	遊戲1_1	敘述1_1	29	False	CC
26	遊戲1_1	敘述1_1	29	False	CC
